fid,CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE,NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
11,PTV.135.A05,,,,,,,,,,,,,,,,,,,,,,,820011.8323890427,9896275.495979205,PTV.135.A05 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,2eeea99c1082b4e621de6ede94b02abc50d2e279d88d6e49845fe649f70bff35,4D305,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""2eeea99c1082b4e621de6ede94b02abc50d2e279d88d6e49845fe649f70bff35"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""2eeea99c1082b4e621de6ede94b02abc50d2e279d88d6e49845fe649f70bff35"",""support_feature_key"":""d9ab445d688b888d21330e658d24a5a9ef626a81bc45f6f8644d2735d82ae0c8"",""support_handle"":""4CE34"",""max_displacement_m"":6.02047355772705}]",,,,,,
12,PTV.135.B05,,,,,,,,,,,,,,,,,,,,,,,819887.3825086892,9896234.563522512,PTV.135.B05 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,88d323082f90825ee1e475885bef3e58159cd6af1a4de3604fc3f98b8814b70b,4D32D,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""88d323082f90825ee1e475885bef3e58159cd6af1a4de3604fc3f98b8814b70b"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""88d323082f90825ee1e475885bef3e58159cd6af1a4de3604fc3f98b8814b70b"",""support_feature_key"":""988743a2655da52baf2bc24357966c67d9b9480a422aabdf87aa207f376cc3f1"",""support_handle"":""4CE9C"",""max_displacement_m"":5.961248791564531}]",,,,,,
13,PTV.135.A04,,,,,,,,,,,,,,,,,,,,,,,820003.0654313032,9896228.418783095,PTV.135.A04 · 13,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,868537a801913118d2da5a65890e300b7b6dc53d16635e62ca2ea9f444c4ee6c,4D301,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""868537a801913118d2da5a65890e300b7b6dc53d16635e62ca2ea9f444c4ee6c"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""868537a801913118d2da5a65890e300b7b6dc53d16635e62ca2ea9f444c4ee6c"",""support_feature_key"":""6bb38eaff0c4772ad2881e1553a0477f7752c7641e97ce7d913666bc63670878"",""support_handle"":""4CE24"",""max_displacement_m"":5.958404821892615}]",,,,,,
14,PTV.135.A02,,,,,,,,,,,,,,,,,,,,,,,819975.5778130344,9896231.05360491,PTV.135.A02 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,934a5a991c8ae6c953885c7bc88514752f65c06efbc2b16096b0cb3e076caadf,4D2FD,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""934a5a991c8ae6c953885c7bc88514752f65c06efbc2b16096b0cb3e076caadf"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""934a5a991c8ae6c953885c7bc88514752f65c06efbc2b16096b0cb3e076caadf"",""support_feature_key"":""f6c364152047fccf32c35e9e63be382f27e883b26b5ab30b45c954f6b3ae69ac"",""support_handle"":""4CE1C"",""max_displacement_m"":6.144406134648372}]",,,,,,
15,PTV.135.B03,,,,,,,,,,,,,,,,,,,,,,,819822.6982919675,9896272.96060037,PTV.135.B03 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,074cb05db899d4c71acfda15936163f5283bc11f2e4de8ca6a22658d4bde69e0,4D335,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.576260113727,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""074cb05db899d4c71acfda15936163f5283bc11f2e4de8ca6a22658d4bde69e0"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""074cb05db899d4c71acfda15936163f5283bc11f2e4de8ca6a22658d4bde69e0"",""support_feature_key"":""1660abf4ab1524dda4d665cb7d9f2578613aec86a688cbf5f3cefd0446ed0946"",""support_handle"":""4CEB4"",""max_displacement_m"":6.095601521000039}]",,,,,,
16,PTV.135.B09,,,,,,,,,,,,,,,,,,,,,,,819940.2227733738,9896314.223794244,PTV.135.B09 · 12,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,1af10064142bd93ca25ad68a1a5b289382961bef534eacc33587cd9f4a698df2,4D347,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""1af10064142bd93ca25ad68a1a5b289382961bef534eacc33587cd9f4a698df2"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""1af10064142bd93ca25ad68a1a5b289382961bef534eacc33587cd9f4a698df2"",""support_feature_key"":""a567708984a05d01b59ffc71c098353fe57b07f9e81fb7db4ccd9f49ada13714"",""support_handle"":""4CE54"",""max_displacement_m"":6.523633558152517}]",,,,,,
17,PTV.135.A09,,,,,,,,,,,,,,,,,,,,,,,819965.607500113,9896111.241107237,PTV.135.A09 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,42cd4ea567ea3f0130416b378849b98673860ee7b958c9088b26feb016699a95,4D315,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""42cd4ea567ea3f0130416b378849b98673860ee7b958c9088b26feb016699a95"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""42cd4ea567ea3f0130416b378849b98673860ee7b958c9088b26feb016699a95"",""support_feature_key"":""5b927be3edfa9fe1e4a5914415eeedbc35b0a6b66de92e27eb2768a99a98eb93"",""support_handle"":""4CDCC"",""max_displacement_m"":6.051433270503342}]",,,,,,
18,PTV.135.B10,,,,,,,,,,,,,,,,,,,,,,,819938.0258554717,9896274.578818936,PTV.135.B10 · 15,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,233fad93657ba309088f1554bf3df006c5f6e6f189938b3373041ad78f5694ab,4D2F5,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""233fad93657ba309088f1554bf3df006c5f6e6f189938b3373041ad78f5694ab"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""233fad93657ba309088f1554bf3df006c5f6e6f189938b3373041ad78f5694ab"",""support_feature_key"":""964113e2c2135adda4bff1d1d49a963ac07e8cdc85f94a6c7592a382b1deed13"",""support_handle"":""4CE5C"",""max_displacement_m"":5.842230831320146}]",,,,,,
19,PTV.135.A01,,,,,,,,,,,,,,,,,,,,,,,819937.7876792119,9896231.344559073,PTV.135.A01 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,d59478a10585bc3508678927bf46f0853965a6cd2be1891e8e37b0641a13967a,4D2F1,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""d59478a10585bc3508678927bf46f0853965a6cd2be1891e8e37b0641a13967a"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""d59478a10585bc3508678927bf46f0853965a6cd2be1891e8e37b0641a13967a"",""support_feature_key"":""b72a2bd21a63da48f1f2904aa205c114eb757138d0a0b6f9eddf45cbc56ccdd5"",""support_handle"":""4CE64"",""max_displacement_m"":5.903708621292713}]",,,,,,
20,PTV.135.B02,,,,,,,,,,,,,,,,,,,,,,,819867.5514445773,9896228.21097622,PTV.135.B02 · 16,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,786b1b0e2105c517b56eab9c71739bb9b991bb021d0ec6ff4e6f3c5b9225279a,4D329,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""786b1b0e2105c517b56eab9c71739bb9b991bb021d0ec6ff4e6f3c5b9225279a"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""786b1b0e2105c517b56eab9c71739bb9b991bb021d0ec6ff4e6f3c5b9225279a"",""support_feature_key"":""bcadd5db3f9e8ed2b77beca9c321b5a6c2b3cbe9440d0ddd37ce4c2d67a61ef0"",""support_handle"":""4CED4"",""max_displacement_m"":6.251674846818278}]",,,,,,
21,PTV.135.A07,,,,,,,,,,,,,,,,,,,,,,,820003.1614118088,9896102.189979784,PTV.135.A07 · 15,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,207671fe9c5a1fe444f65609169dd89cfb84d44a5241a6e6a2d360ef45fa039c,4D30D,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762602206353,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260221,"[{""operation"":""identity"",""source_entity_key"":""207671fe9c5a1fe444f65609169dd89cfb84d44a5241a6e6a2d360ef45fa039c"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""207671fe9c5a1fe444f65609169dd89cfb84d44a5241a6e6a2d360ef45fa039c"",""support_feature_key"":""5dbef2ed79fafd4508d54a58bba6629b25a74844c2918cc2fa9af2bd9ec593b3"",""support_handle"":""4CDF4"",""max_displacement_m"":6.214377108676996}]",,,,,,
22,PTV.135.B08,,,,,,,,,,,,,,,,,,,,,,,819906.8695273171,9896315.131555056,PTV.135.B08 · 11,DWG_DERIVED:AI-ANNOTATION-OBSERVED_164B341107F4645B536A455752F88634-001|RULE:AI-ANNOTATION-ASSIGN-001|DWG_DIRECT:block-attribute-text,75439beb61b3e0b3506cb3c08f835435ebfcc8a73ef4bc177f123e460199f552,4D33D,FAT,SOURCE_ASSET,30,,BYLAYER,30,0.04230224072204261,2.423739857319486,357.5762601140091,ACI:30|LT:BYLAYER|LW:30|ROT_QGIS:357.576260114,"[{""operation"":""identity"",""source_entity_key"":""75439beb61b3e0b3506cb3c08f835435ebfcc8a73ef4bc177f123e460199f552"",""max_displacement_m"":0.0},{""operation"":""collocate_with_support"",""source_entity_key"":""75439beb61b3e0b3506cb3c08f835435ebfcc8a73ef4bc177f123e460199f552"",""support_feature_key"":""d1f76b223c9a0012929e0dd862dee27bc81293eb5d91130cd0c646533e27ce16"",""support_handle"":""4CF4C"",""max_displacement_m"":6.391379520856891}]",,,,,,
