fid,CODE,REF_PLAQUE,REF_NRO,STATUT,NB_PRISES,COMMENT,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,ZNRO-CAD-ZPM-COMPONENT-2,,,,,,,UNAVAILABLE,0c0e2bec1b064c4d744ef1e256d393b010faa79d4298ce2ba8811e51764d48d7,ZPM-COMPONENT-2,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,359.783035558347,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:359.783035558,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""0c0e2bec1b064c4d744ef1e256d393b010faa79d4298ce2ba8811e51764d48d7"",""max_displacement_m"":0.0}]",,,,,,
2,ZNRO-CAD-ZPM-COMPONENT-1,,,,,,,UNAVAILABLE,0dc8c855a1009e532bf4ca70c809a758731e400dfbd62c49b8684cf18129b67f,ZPM-COMPONENT-1,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,359.78302113056026,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:359.783021131,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""0dc8c855a1009e532bf4ca70c809a758731e400dfbd62c49b8684cf18129b67f"",""max_displacement_m"":0.0}]",,,,,,
