fid,CODE,REF_PLAQUE,REF_NRO,STATUT,NB_PRISES,COMMENT,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,ZNRO-CAD-ZPM-COMPONENT-1,,,,,,,UNAVAILABLE,21445da1fd1cc3122b3f05396a2cbe87a9d2ac688a1c2fede848f5bea86c4936,ZPM-COMPONENT-1,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,0.0,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""21445da1fd1cc3122b3f05396a2cbe87a9d2ac688a1c2fede848f5bea86c4936"",""max_displacement_m"":0.0}]",,,,,,
2,ZNRO-CAD-ZPM-COMPONENT-2,,,,,,,UNAVAILABLE,151023bcdbbaa43f785ce1beb0c33df28cbddace349796ea5dda9b1a24627701,ZPM-COMPONENT-2,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,0.0,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""151023bcdbbaa43f785ce1beb0c33df28cbddace349796ea5dda9b1a24627701"",""max_displacement_m"":0.0}]",,,,,,
3,ZNRO-CAD-ZPM-COMPONENT-3,,,,,,,UNAVAILABLE,909f14b2eaeeeee0df5e41faaebdb362b463ddebf0dd9ea0a62ba0d19b6574b4,ZPM-COMPONENT-3,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,0.0,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""909f14b2eaeeeee0df5e41faaebdb362b463ddebf0dd9ea0a62ba0d19b6574b4"",""max_displacement_m"":0.0}]",,,,,,
4,ZNRO-CAD-ZPM-COMPONENT-4,,,,,,,UNAVAILABLE,444e76b2943337572cda6b430f67b24c28cdb45ece8836a51894b569196bef37,ZPM-COMPONENT-4,ZPM-CONSERVATIVE-UNION,SOURCE_BOUNDARY,1,#FF0000,DASHED,-1,0.0,0.0,0.0,TRUECOLOR:FF0000|LT:DASHED|LW:-1|ROT_QGIS:0.000000000,"[{""operation"":""conservative_znro_component"",""source_entity_key"":""444e76b2943337572cda6b430f67b24c28cdb45ece8836a51894b569196bef37"",""max_displacement_m"":0.0}]",,,,,,
