fid,CODE,NOM,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,COMMENT,X,Y,display_label,label_provenance,source_entity_key,source_handle,source_layer,geometry_role,style_aci,style_truecolor,style_linetype,style_lineweight,style_rotation,style_rotation_deg,style_qgis_rotation_deg,style_render_key,lineage_json,source_cad_length_m,dimension_length_m,source_segment_sum_m,source_native_length_delta_m,delivery_grid_length_m,geodesic_length_m
1,MR.UP.TMH.S01.P002,,,,,,,,,,,,,,,,13896421.69706254,145573.9328243993,MR.UP.TMH.S01.P002,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,a0b13d6a5a41d55f1837a3b280793f52ee7821af59eb802d95a7a74eb9e55cd2,75C1,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""a0b13d6a5a41d55f1837a3b280793f52ee7821af59eb802d95a7a74eb9e55cd2"",""max_displacement_m"":0.0}]",,,,,,
2,MR.UP.TMH.S01.P003,,,,,,,,,,,,,,,,13896412.4485157,145586.83412949,MR.UP.TMH.S01.P003,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,39914d9dc5bc72f20f1b4f52528a99886afa4be3023e202b949ad3f841d1347a,75C9,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""39914d9dc5bc72f20f1b4f52528a99886afa4be3023e202b949ad3f841d1347a"",""max_displacement_m"":0.0}]",,,,,,
3,MR.UP.TMH.S01.P001,,,,,,,,,,,,,,,,13896467.96664949,145545.1357341772,MR.UP.TMH.S01.P001,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,b5a24b38427982ca3b842c6e65e4c9994423325eae1884cbb5103f396bc61616,75AB,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""b5a24b38427982ca3b842c6e65e4c9994423325eae1884cbb5103f396bc61616"",""max_displacement_m"":0.0}]",,,,,,
4,MR.UP.TMH.S01.P005,,,,,,,,,,,,,,,,13896404.30111766,145616.3681006432,MR.UP.TMH.S01.P005,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,7346262146d489a3256c4214f25df966e81f8475fd7ce726aed637b167dee8be,75D9,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""7346262146d489a3256c4214f25df966e81f8475fd7ce726aed637b167dee8be"",""max_displacement_m"":0.0}]",,,,,,
5,PTECH-CAD-75A2,,,,,,,,,,,,,,,,13896483.98902274,145566.6158118551,,UNAVAILABLE,a5e6c1382ab6fa1d1f07cdaa64fe23e8d7c2856c56f9b9675affd205a2bc8060,75A2,EXT POLE,SOURCE_ASSET,1,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,PTECH:EXISTING|ROT_QGIS:359.978017057,"[{""operation"":""identity"",""source_entity_key"":""a5e6c1382ab6fa1d1f07cdaa64fe23e8d7c2856c56f9b9675affd205a2bc8060"",""max_displacement_m"":0.0}]",,,,,,
6,MR.UP.TMH.S01.P004,,,,,,,,,,,,,,,,13896418.77381794,145611.2629356061,MR.UP.TMH.S01.P004,DWG_DERIVED:pole-label-semantic|RULE:AI-ANNOTATION-ASSIGN-001,defa749e8cc276f74f28adce07c8fb650880f2d3632fc9f3b2699ca3d6d6dc22,75D1,NEW POLE 7m(4 inches),SOURCE_ASSET,3,,Continuous,-1,0.0003836747288109,0.021982942666690982,359.978017057275,"PTECH:NP7 4""|ROT_QGIS:359.978017057","[{""operation"":""identity"",""source_entity_key"":""defa749e8cc276f74f28adce07c8fb650880f2d3632fc9f3b2699ca3d6d6dc22"",""max_displacement_m"":0.0}]",,,,,,
