entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
0c8f6b9aad5e8ced2673195d4d893d047f00a645166948c1a2a743373e2b94b6,69B2,ARC,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0ca23c9f783388dd84b03371abd75ecd903ac5ceb4d87d4059c4daade140ae8e,6566,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0cfc775ea9fc7733693e02cec4c9dea1878a15ae63d774d079a434b17eb66af6,6643,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0cffdcf035310fb95baa9713f062b0fc612e6b23373da55c113f08d2a8edfa5f,65A2,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0d0014f50ff14c5ba19e758f3dd30583b4eab300acdfb69c6d0e55027dcc3320,161F,MTEXT,HOMENUMBER,132,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
0d1281adfc624055088c1ae7a45fe604d1b9ad0db7e6fbbcde14dc27be58ff70,6574,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0d1e548dd47d6f9dd4b1e853747b001c3ca633d111def400f803b875c37cd81d,5845,LWPOLYLINE,Service Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0d34d1b47ca5e85f7454569ffb62475a153fe675e78598f0c8f9bdaaa51e37cc,6546,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0d3684cd8f771142ac0e16672b7735148560f8d0c239a0dfa500f6adf6ee869e,30C,TEXT,TIANG,EXT PLN,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
0dadbd570453f9f57e66f25d49bf916bd7597f42da2e0668146cc03cf1b320fc,67F5,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0db955069bc7cd38af62a01634cf4303795a261fddbcf0b01c1566052d329f47,57B4,TEXT,Service Core,F13,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
0dc62d332c0a7f117ac79889ab432871018feac48bfd901471ba50b2ffffd82f,78EE,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0dcb333054b62c9da437a86b1844b8d92885b6c0b4bdcfceeaa6708641c323c8,69C8,CIRCLE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0df22ba747ad680cef36ca1f021d0ca36fd0bc1e95fb6f59babef100800de151,1704,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0df29195fc611e7340505012d2d6e1f634a1b5d82851661b16d3f30d4f07df63,64EF,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0e2b86cbd39d296c03ef30b467e410562297a474f8e9b556456cc2fa53db9845,69C3,CIRCLE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0e39a72d5539dfda01378892efc1b3b322de888c2979ed842c1797f37754ce6b,308,TEXT,TIANG,EXT PLN,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
0e4c21c1ac405a7a6d5504deb7379abfd594e4b6f41c0e4f02771e2dc2daa69d,6560,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0e6d0e6f432a6d98b251cf9a523c627a14d1b478d4a59f265650ec7bc6cfb3b2,2F0,TEXT,TIANG,EXT PLN,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
0e7c83ea62df09484835e5186e061f7f3c5cc086d3a87daff483290354a7e281,1A15,INSERT,NEW POLE 7m(3 inches),FAT=16,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
0ed2f7cd49424c85a9f61dc2dbd583e0c0d698c62244002e21fad31a16bbdc7a,66C5,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0ef6065c0be03d38cbc2b460319b65a9fa781b6375c4c6cfeae80a3f99a2b2ce,1B93,INSERT,NEW POLE 7m(2'5 inches),FAT=16,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
0ef69f90ad768084f5ed034340480b3539e12deeaed288605baadc448096e04d,6667,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0f0f6f1127636aaf1cbf8d1e6073f9504e31d01d04beff97f06d9978d01f563d,15F6,MTEXT,HOMENUMBER,91,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
