OBJET : ZONE NRO,,,,,,,,,,
Nom champ,字段描述,Descriptif champ,Exemple,"Type
champ","Longueur
champ",Format de saisie,"Obligatoire
O/C/N","Description de
la condition","Contrainte de
remplissage",
CODE,部署区域编码,Code de la zone de déploiement,TNG01-BOK01,Texte,30,Saisie libre,O,,Format à définir,
REF_PLAQUE,归属面板编码,Code de la plaque de rattachement,TNG01-BOK,Texte,50,Saisie libre,O,,Format à définir,
REF_NRO,NRO 名称,Nom du NRO,NRO-TNG01-BOK,Texte,30,Saisie libre,O,,Format à définir,
STATUT,部署状态,Statut de déploiement,DEPLOYE,Texte,50,Liste de valeurs l_statut,O,,,
NB_PRISES,端口总数,Nombre total de prises,4000,Entier,10,Saisie libre,O,,,
COMMENT,备注信息,Commentaires éventuels,,,Texte,50,Saisie libre,C,,
