OBJET : INFRASTRUCTURE,,,,,,,,,
Nom champ,字段描述,Descriptif champ,Exemple,"Type
champ","Longueur
champ",Format de saisie,"Obligatoire
O/C/N","Description de
la condition","Contrainte de
remplissage"
CODE,基础设施编码,Code de l'infrastructure,UNF-INF-123456,Texte,30,Saisie libre,O,,Format à définir
NOM,现场命名,Nommage terrain,POT-IAM-012,Texte,30,Saisie libre,C,Nom terrain sinon code,Format à définir
REF_PLAQUE,归属面板编码,Code de la plaque de rattachement,TNG01-BOK,Texte,50,Saisie libre,O,,Format à définir
ORIGINE,基础设施起点技术点编码,Code du point technique d'origine de l'infrastructure,CHA-012,Texte,50,Saisie libre,,,Format à définir
EXTREMITE,基础设施终点技术点编码,Code du point technique d'extrémité de l'infrastructure,CHA-INW-023,Texte,50,Saisie libre,,,Format à définir
COMPOSITION,管道组合,Composition de la nappe de fourreaux,3 PEHD 33/40 | 6 PVC 60,Texte,50,Saisie selon un format prédéfini,C,Si conduite,"Nb fx & Type fx & Diam fx séparateur ""|"""
TYPE,基础设施类型,Type d'infrastructure,"AERIEN, SOUTEREAIN",Texte,50,Liste de valeurs l_mode_pose,O,,
TYPE_LOG,逻辑类型,Type logique,DISTRIBUTION,Texte,50,Liste de valeurs l_type_log,O,,
STATUT,部署状态,Statut de déploiement,DEPLOYE,Texte,50,Liste de valeurs l_statut,O,,
PROPRIETAIRE,产权方,Propriétaire,UNIFIBER,Texte,50,Saisie libre,O,,
GESTIONNAIRE,管理方,Gestionnaire,UNIFIBER,Texte,50,Saisie libre,O,,
LONGUEUR,基础设施长度,Longueur de l'infrastructure,350,Double,10,"Exprimée en mètre, sur la base de la projection retenue",O,,
COMMENT,备注信息,Commentaires éventuels,,Texte,50,Saisie libre,C,,
